,Beta,Gamma,t,min(S),max(I)
368,0.85,0.55,14.384161590141115,0,12254
369,0.85,0.6,18.716880866603415,0,12281
370,0.85,0.65,17.248311183089587,0,12246
371,0.85,0.7,15.462905927770993,0,10911
372,0.85,0.75,12.741138543399137,0,12182
373,0.85,0.8,10.298201072358607,0,12194
374,0.85,0.85,11.041831498110176,0,12241
375,0.85,0.9,12.227732624080826,0,11873
376,0.85,0.95,9.06320559352602,0,11974
377,0.85,1.0,9.371114667257027,0,11486
378,0.9,0.01,1054.6689307339848,0,12812
379,0.9,0.05,206.29581609405255,0,12881
380,0.9,0.1,102.2532810769315,0,12814
381,0.9,0.15,66.86082316139813,0,12641
382,0.9,0.2,55.205012597713655,0,12189
383,0.9,0.25,45.349553678446156,0,12422
384,0.9,0.3,33.15365973246079,0,12569
385,0.9,0.35,40.38089157954929,0,12356
386,0.9,0.4,0.029936288549135576,12876,1
387,0.9,0.45,24.96228860704321,0,11612
388,0.9,0.5,24.213969924719272,0,12401
389,0.9,0.55,15.82649290846719,0,12401
390,0.9,0.6,15.12629233081961,0,12319
391,0.9,0.65,14.5755253186317,0,12498
392,0.9,0.7,13.626358352469087,0,12175
393,0.9,0.75,12.275594022949408,0,12227
394,0.9,0.8,15.050488239011786,0,12483
395,0.9,0.85,11.65825866539964,0,11982
396,0.9,0.9,10.620859200679892,0,10873
397,0.9,0.95,11.836208885700257,0,12086
398,0.9,1.0,9.109873608615436,0,11764
399,0.95,0.01,1000.8128542036881,0,12885
400,0.95,0.05,217.6447655683876,0,12796
401,0.95,0.1,94.65504753542575,0,12787
402,0.95,0.15,65.5364962167135,0,12831
403,0.95,0.2,56.936885834746114,0,12739
404,0.95,0.25,40.308408309661715,0,12520
405,0.95,0.3,32.27204946102682,0,12466
406,0.95,0.35,27.09897046220528,0,12254
407,0.95,0.4,28.43494613649395,0,12303
408,0.95,0.45,20.557931204737674,0,12685
409,0.95,0.5,17.47053936754892,0,11726
410,0.95,0.55,15.458592141089499,0,12450
411,0.95,0.6,19.069415048467462,0,12207
412,0.95,0.65,12.506352251295304,0,12300
413,0.95,0.7,18.196598310091666,0,12136
414,0.95,0.75,13.114150085632513,0,12365
415,0.95,0.8,13.304772475391145,0,12116
416,0.95,0.85,11.974411562520983,0,12212
417,0.95,0.9,10.693473430327598,0,12266
418,0.95,0.95,9.207245851750507,0,11750
419,0.95,1.0,9.766589606507976,0,12083
420,1.0,0.01,1371.049571485608,0,12872
421,1.0,0.05,205.52615996889924,0,12837
422,1.0,0.1,104.36888303524671,0,12792
423,1.0,0.15,72.19539624391894,0,12755
424,1.0,0.2,52.590729395401794,0,12598
425,1.0,0.25,39.23257262429947,0,12615
426,1.0,0.3,28.279384461543568,0,12457
427,1.0,0.35,26.540233213442093,0,12582
428,1.0,0.4,23.732413076148873,0,12578
429,1.0,0.45,18.61117148049759,0,12453
430,1.0,0.5,19.540951585283352,0,12635
431,1.0,0.55,22.099765392303123,0,12495
432,1.0,0.6,15.102605582445172,0,12298
433,1.0,0.65,15.205231708523373,0,12386
434,1.0,0.7,16.894091254048256,0,12081
435,1.0,0.75,15.10508290577556,0,12100
436,1.0,0.8,10.634922572069698,0,12284
437,1.0,0.85,12.822514071070161,0,12256
438,1.0,0.9,11.317345661085028,0,12102
439,1.0,0.95,9.506967880623653,0,12149
440,1.0,1.0,10.899549144517175,1,11054
441,0.01,0.01,1027.0339739458782,42,10030
442,0.01,0.05,240.7597684074996,760,5425
443,0.01,0.1,211.5064860671636,2684,2716
444,0.01,0.15,0.6174530640473346,12756,1
445,0.01,0.2,194.05825843833,8925,299
446,0.01,0.25,6.988824351495269,12820,3
447,0.01,0.3,22.166481197265195,12889,5
448,0.01,0.35,6.384130852769027,12941,3
449,0.01,0.4,24.87939913516339,12820,10
450,0.01,0.45,5.283550180535839,12789,3
451,0.01,0.5,1.3923953112448129,12921,2
452,0.01,0.55,7.5854278751627495,12915,3
453,0.01,0.6,0.4655329643178699,12892,2
454,0.01,0.65,0.37335238660306186,12890,1
455,0.01,0.7,4.804597520837416,12917,5
456,0.01,0.75,0.36287992508193817,12846,1
457,0.01,0.8,3.4160418957296934,12939,4
458,0.01,0.85,3.353311963398196,12850,3
459,0.01,0.9,1.9664654648831277,12827,2
460,0.01,0.95,0.8174174977383939,12869,2
461,0.01,1.0,1.2889214286436108,12963,2
462,0.05,0.01,915.170010185471,2,11913
463,0.05,0.05,203.7596047774584,26,10022
464,0.05,0.1,130.23930292937828,147,8074
465,0.05,0.15,88.19477415290753,333,6777
466,0.05,0.2,0.7419161351375537,12942,2
467,0.05,0.25,60.31651023158244,808,5180
468,0.05,0.3,47.63805290393453,1343,4243
469,0.05,0.35,50.941060800079974,1908,3339
